pool,Fee Tier,Start Date,Expiry Date,Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio*,EfficientRatioB**
Ethena sUSDE 27MAR2025,0.001,17 Sept 2024,27 Mar 2025,6-Stablecoins,Stable,Ethena,1,0.1718955685580844,131886456.93581073,919304.7814804493,1369732.1110909744,6613.703463888124,9854.187849575355,19470568.074298926,0.02727178095962924,0.1476312922999764
ether.fi weETH 27JUN2024,0.0003,9 Jan 2024,27 Jun 2024,2-Restaking,ETH,Ether.fi,1,0.2734737290171153,113169762.5525587,339111.7123699672,1913242.0025771928,2006.5781797039479,11320.958595131318,33558780.62311121,0.036512844014352855,0.29653486820320685
pumpBTC 27MAR2025,0.0015,16 Oct 2024,27 Mar 2025,2-Restaking,BTC,pumpBTC,1,0.04391251655651974,87265824.10257277,5924.662152130002,9562.676395630006,61.07899125907219,98.58429273845367,398831.3871126691,0.0004123408816633718,0.004570304483045738
Ethena sUSDE 29MAY2025,0.002,13 Nov 2024,29 May 2025,6-Stablecoins,Stable,Ethena,1,0.18712851290613547,85948743.3809864,430980.56179604155,608601.803943107,5011.40188134932,7076.765162129152,5749346.182049501,0.03005301977164867,0.0668927311312078
Berachain STONE 10APR2025,0.0025,14 Jan 2025,10 Apr 2025,1-Staking,ETH,Stakestone,1,0.1313178007454307,83341671.67358841,46257.68480305354,46257.82647144319,1927.4035334605642,1927.409436310133,3566888.1831964515,0.008441208702994425,0.042798375789321066
Corn Bedrock uniBTC 27FEB2025,0.001500004,23 Dec 2024,27 Feb 2025,2-Restaking,BTC,Bedrock,1,0.06682432860775904,81289181.20265295,3290.43243955,4292.28021863,73.12072087888889,95.38400485844444,523890.46539983567,0.00042828776545969196,0.00644477478612785
SolvBTC Babylon 27MAR2025,0.001,30 Sept 2024,27 Mar 2025,2-Restaking,BTC,SolvProtocol,56,0.05645678848170166,75018425.49888039,47917.102644180115,71498.45734295018,368.59309726292395,549.9881334073091,1388994.110930666,0.002675951506029192,0.018515372746011526
Corn SolvBTC Babylon 26DEC2024,0.001,16 Sept 2024,26 Dec 2024,2-Restaking,BTC,SolvProtocol,1,0.08480445415046622,67026065.37680413,30855.004215330682,64806.34936703067,311.6667092457645,654.6095895659664,4320972.483909251,0.0035647698973281174,0.06446704665741308
Corn pumpBTC 26DEC2024,0.001,25 Sept 2024,26 Dec 2024,2-Restaking,BTC,PumpBTC,1,0.07166017401333023,65959931.14833663,5908.231735520002,11175.744158770001,66.38462624179778,125.57015908730338,1588104.5075605384,0.0006948628852233353,0.024076806629604663
Corn Bedrock uniBTC 26DEC2024,0.001,16 Sept 2024,26 Dec 2024,2-Restaking,BTC,Bedrock,1,0.0742114935903608,63690362.29861321,6118.20911147,13992.565873849995,65.78719474698924,150.4576975682795,1031624.3874709001,0.0008622507021540024,0.016197495982737762
Wrapped stUSR 27MAR2025,0.004,23 Dec 2024,27 Mar 2025,7-RWA,Stable,Resolv,1,0.2672648789482043,60766940.48345501,403319.3188458325,413015.77272534516,8767.811279257228,8978.603754898808,6850475.948862224,0.05393048168074784,0.11273359978897407
USD0++ 27MAR2025,0.002,16 Oct 2024,27 Mar 2025,7-RWA,Stable,Usual,1,0.20766477531346902,56535649.378221,556904.7894067041,851732.7481440374,4842.650342666992,7406.37172299163,7385989.583456399,0.04781630190195241,0.13064304849572797
Corn SolvBTC Babylon 27FEB2025,0.0012,23 Dec 2024,27 Feb 2025,2-Restaking,BTC,SolvProtocol,1,0.07725875981427534,50920615.770843014,17947.695328078193,21311.395750788193,390.16728974083026,463.2912119736564,1141198.1022195064,0.0033208807436930373,0.022411317792290972
