pool,Fee Tier,Start Date,Expiry Date,Duration(Day),Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio,EfficientRatioB
Ethena sUSDE 27MAR2025,0.001,2024-09-17,2025-03-27,191,6-Stablecoins,Stable,Ethena,1,0.171895569,131886456.9,919304.7815,1369732.111,6613.703464,9854.18785,19470568.07,0.027271781,0.147631292
ether.fi weETH 27JUN2024,0.0003,2024-01-09,2024-06-27,170,2-Restaking,ETH,Ether.fi,1,0.273473729,113169762.6,339111.7124,1913242.003,2006.57818,11320.9586,33558780.62,0.036512844,0.296534868
pumpBTC 27MAR2025,0.0015,2024-10-16,2025-03-27,162,2-Restaking,BTC,pumpBTC,1,0.043912517,87265824.1,5924.662152,9562.676396,61.07899126,98.58429274,398831.3871,0.000412341,0.004570304
Ethena sUSDE 29MAY2025,0.002,2024-11-13,2025-05-29,197,6-Stablecoins,Stable,Ethena,1,0.187128513,85948743.38,430980.5618,608601.8039,5011.401881,7076.765162,5749346.182,0.03005302,0.066892731
Berachain STONE 10APR2025,0.0025,2025-01-14,2025-04-10,86,1-Staking,ETH,Stakestone,1,0.131317801,83341671.67,46257.6848,46257.82647,1927.403533,1927.409436,3566888.183,0.008441209,0.042798376
Corn Bedrock uniBTC 27FEB2025,0.001500004,2024-12-23,2025-02-27,66,2-Restaking,BTC,Bedrock,1,0.066824329,81289181.2,3290.43244,4292.280219,73.12072088,95.38400486,523890.4654,0.000428288,0.006444775
SolvBTC Babylon 27MAR2025,0.001,2024-09-30,2025-03-27,178,2-Restaking,BTC,SolvProtocol,56,0.056456788,75018425.5,47917.10264,71498.45734,368.5930973,549.9881334,1388994.111,0.002675952,0.018515373
Corn SolvBTC Babylon 26DEC2024,0.001,2024-09-16,2024-12-26,101,2-Restaking,BTC,SolvProtocol,1,0.084804454,67026065.38,30855.00422,64806.34937,311.6667092,654.6095896,4320972.484,0.00356477,0.064467047
Corn pumpBTC 26DEC2024,0.001,2024-09-25,2024-12-26,92,2-Restaking,BTC,PumpBTC,1,0.071660174,65959931.15,5908.231736,11175.74416,66.38462624,125.5701591,1588104.508,0.000694863,0.024076807
Corn Bedrock uniBTC 26DEC2024,0.001,2024-09-16,2024-12-26,101,2-Restaking,BTC,Bedrock,1,0.074211494,63690362.3,6118.209111,13992.56587,65.78719475,150.4576976,1031624.387,0.000862251,0.016197496
