Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD)
2022 May,58186,1218773,2515,10488612,210421037.4,2297530.05,0,2297530.05
2022 June,56964,1182473,2599,10146341,178213652.7,77257083.99,0,77257083.99
2022 July,46847,1031975,2678,9912058,199481346,53312168.96,0,53312168.96
2022 August,38036,817386,2729,9303133,143032068.4,25105723.83,33266287.7,58372011.53
2022 September,42397,1146086,2854,9110899,144937699.5,33063529.88,79755706.04,112819235.9
2022 October,42128,1239345,2920,8934027,246156634.4,56314139.45,162776172,219090311.5
2022 November,38638,988720,2964,8826670,194808103,38587261.66,90820382.85,129407644.5
2022 December,47195,973970,3026,8731529,167688957,50812104.12,88298226.97,139110331.1
2023 January,45172,1483769,3137,8601646,174536155.8,36436743.97,75325206.49,111761950.5
2023 February,39464,799934,3187,8489654,191283032.8,27228111.32,79128559.1,106356670.4
2023 March,31584,837685,3217,8317321,181340587.3,50902586.54,97624753.3,148527339.8
2023 April,25638,479044,3240,8173478,153339408.3,20594021.64,86550884.66,107144906.3
2023 May,21058,477406,3216,8072604,137486571.9,12353399.46,81223709.21,93577108.67
2023 June,16899,434220,3263,7966891,133685062.1,18758536.24,74300779.06,93059315.3
2023 July,23071,562112,3302,7774812,162882964.2,27577456.52,89193778.78,116771235.3
2023 August,16147,950614,3314,7662430,114046313.3,207170488.9,87286018.15,294456507.1
2023 September,14055,550931,3331,7607047,112598615.4,7867259.49,64668706.5,72535965.99
2023 October,11333,439292,3344,7551723,108181467,8887832.12,83356656.46,92244488.58
2023 November,15621,472869,3357,7459163,119672335.8,14801134.96,129320660.2,144121795.1
2023 December,20606,579163,3512,7411710,166062993.3,27248392.42,152748356,179996748.4
2024 January,20387,523934,3543,7406286,131692337.4,23876744.27,118403056.6,142279800.9
2024 February,24721,474837,3566,7376045,145986836,16279655.36,172554394.9,188834050.2
2024 March,39490,738027,3636,7363322,163585634.4,31909659.31,159875092.1,191784751.4
2024 April,29296,1939746,3683,7376402,131476298.1,16667770.23,123569347.6,140237117.8
2024 May,20354,2125167,3713,7354262,144541834.3,14778381.28,127617959.6,142396340.9
2024 June,18346,1671524,3755,7337699,121783091.3,12048046.37,70361648.61,82409694.98
2024 July,17011,16742568,3783,7302176,112807243.5,20147485.75,234786772.4,254934258.1
2024 August,17679,23228023,3806,7282007,102153560,21733947.6,83782103.85,105516051.4
2024 September,17235,29242092,3837,7248391,95768189.09,16071905.61,74876385.72,90948291.33
2024 October,38770,27403337,7081,7365158,99560425.19,70928033.34,37742807.13,108670840.5
2024 November,65179,22424983,9768,7133736,298517627.2,426632248.7,257838509.4,684470758
2024 December,56611,3739216,11638,7188585,306602700.9,47756626.76,46091651.28,93848278.04
