Date, Open, High, Low, Close
12/07/24, 2.3656, 2.5728, 2.3656, 2.5306
12/06/24, 2.3306, 2.4152, 2.2236, 2.3658
12/05/24, 2.3988, 2.4960, 2.1755, 2.3300
12/04/24, 2.6118, 2.6764, 2.2982, 2.3981
12/03/24, 2.7071, 2.9000, 2.2866, 2.6257
12/02/24, 2.1734, 2.8697, 2.1422, 2.7151
12/01/24, 1.9265, 2.2070, 1.8507, 2.1750
11/30/24, 1.7507, 1.9491, 1.7385, 1.9234
11/29/24, 1.4885, 1.7764, 1.4830, 1.7501
11/28/24, 1.4957, 1.4990, 1.4330, 1.4897
11/27/24, 1.3990, 1.5212, 1.3524, 1.4953
11/26/24, 1.4284, 1.4579, 1.2847, 1.4003
11/25/24, 1.4400, 1.5378, 1.3594, 1.4288
11/24/24, 1.4970, 1.5126, 1.2904, 1.4383
11/23/24, 1.4504, 1.6334, 1.4250, 1.4974
11/22/24, 1.1939, 1.4989, 1.1939, 1.4524
11/21/24, 1.1058, 1.2408, 1.0800, 1.1949
11/20/24, 1.0834, 1.1488, 1.0607, 1.1055
11/19/24, 1.1202, 1.1482, 1.0701, 1.0835
11/18/24, 1.0520, 1.1855, 1.0379, 1.1203
11/17/24, 1.1366, 1.1589, 1.0043, 1.0541
11/16/24, 0.9185, 1.2600, 0.8791, 1.1359
11/15/24, 0.8293, 0.9247, 0.7578, 0.9192
11/14/24, 0.6825, 0.8399, 0.6814, 0.8239
11/13/24, 0.7229, 0.7488, 0.6419, 0.6827
11/12/24, 0.6150, 0.7400, 0.5980, 0.7238
11/11/24, 0.5865, 0.6324, 0.5713, 0.6145
11/10/24, 0.5524, 0.6180, 0.5524, 0.5877
11/09/24, 0.5524, 0.5566, 0.5440, 0.5524
11/08/24, 0.5549, 0.5600, 0.5417, 0.5524
11/07/24, 0.5445, 0.5776, 0.5383, 0.5549
11/06/24, 0.5111, 0.5452, 0.5100, 0.5444
11/05/24, 0.4960, 0.5180, 0.4956, 0.5111
