Date,Active traders,Volume (USD),NFTs,Exchanges,Minted,Burned,Avg. Price (XRP),Issuer fees Avg. (XRP),Issuer fees Max (XRP),Issuer fees Total (XRP),Broker fees Avg. (XRP),Broker fees Max (XRP),Broker fees Total (XRP)
2022 October,,307.56,26095,87,26103,8,7.72,0,0,0,0,0.22,0.25
2022 November,,2391871.57,400433,203616,420418,46449,46.69,1.98,7623,220027.63,0.36,284.97,53394.99
2022 December,7862,1609765.88,617942,106506,284998,67439,45.6,1.72,1870,166874.7,0.46,280.48,47041.96
2023 January,6382,1493893.86,717999,56472,130380,30404,74.17,2.41,2500,124894.87,0.73,999,41286.28
2023 February,5856,852940.01,799761,71354,100208,18441,34.14,1.24,1985,78929.32,0.37,1050,23667.66
2023 March,8053,1443384.54,971465,109417,186617,32467,32.97,0.93,1862.5,87700.47,0.41,15000,37605.36
2023 April,7787,766690.24,1111733,84081,181666,44034,20.12,0.85,5271,68092.57,0.27,805,20303.58
2023 May,7592,749970.39,1228309,102823,124868,11914,18.01,0.83,1776,76379.99,0.23,198.63,20484.11
2023 June,9578,1055048.35,1371624,114045,135172,5159,23.11,1.29,4925,111791.88,0.37,750,34079.86
2023 July,8333,759777.19,1489110,105767,127060,11918,13.11,0.55,600,47574.19,0.21,150,20836.26
2023 August,7021,813714.84,1631437,108166,168830,32087,17.82,0.5,419.93,35725.47,0.31,1000,24790.91
2023 September,6561,604344.73,1886121,81464,275643,21647,20.47,0.53,390,35734.47,0.33,362.21,17948.64
2023 October,7800,622657.21,3089210,105676,1219624,16622,13.37,0.55,1300,50440.65,0.19,200,17179.81
2023 November,5000,453010.28,4511136,68246,1433164,17293,11.99,0.47,210,30517.77,0.14,45,8465.68
2023 December,4575,609242.76,5283328,83976,799100,27019,14.08,0.54,216.93,38248.42,0.21,1395.22,13962.53
2024 January,5210,464002.15,5824945,103890,649680,121874,8.9,0.36,537.32,31397.25,0.16,81.82,16517.65
2024 February,7539,389381.55,5888803,61702,84165,20307,12.36,0.47,2460.27,28745.33,0.18,269.75,11232.41
2024 March,5821,521554.29,5945183,72153,67903,12160,13.33,0.52,600,32549.54,0.2,119.18,12296.44
2024 April,4726,293339.47,5958099,66495,26978,15855,14.58,0.71,500,25681.33,0.2,75,7750.38
2024 May,4213,270881.34,5980816,40379,27124,4641,14.87,0.58,300,19668.41,0.24,63.54,7922.78
2024 June,3216,251074.18,6017473,29987,42612,5948,18.1,0.62,689.5,17333.2,0.2,150,5480.28
2024 July,4848,318994.76,6021466,36382,29531,26289,17.78,0.91,1500,30434.2,0.23,225,7597.01
2024 August,4340,607002.42,6046759,41662,33447,6464,38.7,3.13,2250,82664.85,0.52,337.5,14214.87
2024 September,3668,537778.35,6109256,46432,74583,22196,25.37,1.87,2050,68538.67,0.32,307.5,11749.77
2024 October,4137,544862.88,6135029,46385,38098,12325,23.55,1.5,1460,59002.65,0.28,219,10968.85
2024 November,6087,720209.32,5290160,46028,322950,1151380,16.94,0.72,500,30783.63,0.26,93.59,11247.64
2024 December,2048,511769.14,5217880,5856,62415,134695,34.81,1.9,346.92,11121.24,0.54,93.59,3155.97
