day,daily_volume
2024年10月27日,26633740.59
2024年10月26日,17633022.26
2024年10月25日,45183756.7
2024年10月24日,28886385.66
2024年10月23日,43040063.94
2024年10月22日,52477085.16
2024年10月21日,30715965.07
2024年10月20日,27702564.52
2024年10月19日,17679347.8
2024年10月18日,38862431.19
2024年10月17日,43601346.82
2024年10月16日,33054065.02
2024年10月15日,47687483.9
2024年10月14日,44989029.81
2024年10月13日,24194397.32
2024年10月12日,18014135.58
2024年10月11日,26063036.88
2024年10月10日,22222472.58
2024年10月9日,23376569.27
2024年10月8日,23304486.3
2024年10月7日,21100090.82
2024年10月6日,13185600.78
2024年10月5日,8474497.629
2024年10月4日,22552664.34
2024年10月3日,28200009.6
2024年10月2日,33322616.7
2024年10月1日,44600059.36
2024年9月30日,31108322.59
2024年9月29日,17245125.77
2024年9月28日,17734009.61
2024年9月27日,32476426.87
2024年9月26日,26933662.79
2024年9月25日,32416745.83
2024年9月24日,40498898.74
2024年9月23日,34380686.91
2024年9月22日,12149484.16
2024年9月21日,15859691.72
2024年9月20日,41546228.16
2024年9月19日,28896998.75
2024年9月18日,23721613.07
2024年9月17日,23290786.54
2024年9月16日,22797372.28
2024年9月15日,13406489.54
2024年9月14日,11153935.15
2024年9月13日,32867543.72
2024年9月12日,38123718.52
2024年9月11日,46947296.39
2024年9月10日,38671449.93
2024年9月9日,71127169.47
2024年9月8日,42626192.4
2024年9月7日,27098273.94
2024年9月6日,128749908.8
2024年9月5日,40240016.29
2024年9月4日,34289986.26
2024年9月3日,39043091.51
2024年9月2日,35173783.1
2024年9月1日,60031555.52
2024年8月31日,27656130.87
2024年8月30日,83663137.6
2024年8月29日,51188931.01
2024年8月28日,100006626.1
2024年8月27日,96063125.8
2024年8月26日,95546899.06
2024年8月25日,31287099.79
2024年8月24日,109289736.8
2024年8月23日,60351082.78
2024年8月22日,110279298.2
2024年8月21日,151414848.5
2024年8月20日,81393216.93
2024年8月19日,165931087
2024年8月18日,18319363.73
2024年8月17日,8792660.158
2024年8月16日,107485538
2024年8月15日,232941908.2
2024年8月14日,122230987.4
2024年8月13日,66536262.11
2024年8月12日,55716746.39
2024年8月11日,156553526.7
2024年8月10日,75745687.3
2024年8月9日,46730475.42
2024年8月8日,129196124.1
2024年8月7日,91980575.6
2024年8月6日,94352341.24
2024年8月5日,196369734.4
2024年8月4日,40288830.77
2024年8月3日,19368917.13
2024年8月2日,70623753.79
2024年8月1日,60057727.49
2024年7月31日,139177269
2024年7月30日,178356357.8
2024年7月29日,187171874.6
2024年7月28日,53320246.97
2024年7月27日,123808094.3
2024年7月26日,75754152.4
2024年7月25日,190994546
2024年7月24日,203908836.7
2024年7月23日,142059786.7
2024年7月22日,123418286.4
2024年7月21日,106330086.2
2024年7月20日,66867274.16
2024年7月19日,185882624.6
2024年7月18日,214790418.3
2024年7月17日,180838189.3
2024年7月16日,251206928
2024年7月15日,80958033.3
2024年7月14日,67154192.52
2024年7月13日,28059272.96
2024年7月12日,100449013.1
2024年7月11日,191506771.5
2024年7月10日,82299716.23
2024年7月9日,93270315.71
2024年7月8日,68457599.68
2024年7月7日,98953985.52
2024年7月6日,81923961.49
2024年7月5日,276508128.2
2024年7月4日,138460438
2024年7月3日,204179007.1
2024年7月2日,66926979.09
2024年7月1日,57081548.54
2024年6月30日,19634224.83
2024年6月29日,11182725.8
2024年6月28日,34490965.81
2024年6月27日,64278140.54
2024年6月26日,101528693.3
2024年6月25日,93234911.02
2024年6月24日,85043559.09
2024年6月23日,40996230.94
2024年6月22日,44906214.77
2024年6月21日,59552460.15
2024年6月20日,171368574.4
2024年6月19日,124275297.4
2024年6月18日,148278051.1
2024年6月17日,51104941.04
2024年6月16日,27870825.59
2024年6月15日,106379491.3
2024年6月14日,139348881.2
2024年6月13日,70084517.45
2024年6月12日,300009177
2024年6月11日,119564354.3
2024年6月10日,83847080.51
2024年6月9日,18117553.43
2024年6月8日,16446015.51
2024年6月7日,73688417
2024年6月6日,54699410.07
2024年6月5日,22763350.13
2024年6月4日,45031901.44
2024年6月3日,42299681.11
2024年6月2日,27123517.11
2024年6月1日,10611491.52
2024年5月31日,30028513.86
2024年5月30日,47757765.79
2024年5月29日,43080977.08
2024年5月28日,39733562.32
2024年5月27日,32457000.91
2024年5月26日,14728111.78
2024年5月25日,13156411.89
2024年5月24日,29615268.4
2024年5月23日,76980533.76
2024年5月22日,134881624.2
2024年5月21日,83732959.91
2024年5月20日,49927304.31
2024年5月19日,13019716.25
2024年5月18日,12472269.01
2024年5月17日,28876411.28
2024年5月16日,51755955.96
2024年5月15日,84780006.14
2024年5月14日,57095458.7
2024年5月13日,63246560.61
2024年5月12日,24093512.36
2024年5月11日,17545100.01
2024年5月10日,39986348.99
2024年5月9日,75002007.53
2024年5月8日,60562598.53
2024年5月7日,79994836
2024年5月6日,38952933.71
2024年5月5日,34902175.93
2024年5月4日,28707192.73
2024年5月3日,65980713.56
2024年5月2日,81999785
2024年5月1日,75885458.13
2024年4月30日,72249916.98
2024年4月29日,131656331.6
2024年4月28日,24208350.29
2024年4月27日,19068223.33
2024年4月26日,79145160.7
2024年4月25日,56979874.56
2024年4月24日,257990322.6
2024年4月23日,47212398.52
2024年4月22日,52510873.86
2024年4月21日,19857549.14
2024年4月20日,36760008
2024年4月19日,77207670.36
2024年4月18日,82508753.37
2024年4月17日,63663054.9
2024年4月16日,55376444.82
2024年4月15日,57476284.81
2024年4月14日,38020775.66
2024年4月13日,53915396.35
2024年4月12日,77808871.57
2024年4月11日,77310691.71
2024年4月10日,89395218.31
2024年4月9日,68364307.48
2024年4月8日,203850083
2024年4月7日,29526281.56
2024年4月6日,129320967.5
