cumulative_users,month,monthly_users,new_users,returned_users
273,2021-10-01 00:00:00.000 UTC,273,273,0
500,2021-11-01 00:00:00.000 UTC,432,227,205
853,2021-12-01 00:00:00.000 UTC,595,353,242
2320,2022-01-01 00:00:00.000 UTC,1835,1467,368
3448,2022-02-01 00:00:00.000 UTC,1552,1128,424
3981,2022-03-01 00:00:00.000 UTC,1004,533,471
4533,2022-04-01 00:00:00.000 UTC,1223,552,671
4892,2022-05-01 00:00:00.000 UTC,904,359,545
5085,2022-06-01 00:00:00.000 UTC,679,193,486
5421,2022-07-01 00:00:00.000 UTC,766,336,430
5832,2022-08-01 00:00:00.000 UTC,936,411,525
6365,2022-09-01 00:00:00.000 UTC,1125,533,592
7121,2022-10-01 00:00:00.000 UTC,1438,756,682
8534,2022-11-01 00:00:00.000 UTC,2503,1413,1090
9141,2022-12-01 00:00:00.000 UTC,1678,607,1071
10463,2023-01-01 00:00:00.000 UTC,2627,1322,1305
11748,2023-02-01 00:00:00.000 UTC,2777,1285,1492
12818,2023-03-01 00:00:00.000 UTC,2678,1070,1608
13822,2023-04-01 00:00:00.000 UTC,2496,1004,1492
14493,2023-05-01 00:00:00.000 UTC,1941,671,1270
15215,2023-06-01 00:00:00.000 UTC,2096,722,1374
15893,2023-07-01 00:00:00.000 UTC,1918,678,1240
16319,2023-08-01 00:00:00.000 UTC,1660,426,1234
16600,2023-09-01 00:00:00.000 UTC,1095,281,814
17049,2023-10-01 00:00:00.000 UTC,1416,449,967
17559,2023-11-01 00:00:00.000 UTC,1714,510,1204
18436,2023-12-01 00:00:00.000 UTC,2046,877,1169
23177,2024-01-01 00:00:00.000 UTC,6253,4741,1512
24147,2024-02-01 00:00:00.000 UTC,5542,970,4572
24740,2024-03-01 00:00:00.000 UTC,2080,593,1487
25091,2024-04-01 00:00:00.000 UTC,1313,351,962
25358,2024-05-01 00:00:00.000 UTC,1025,267,758
25580,2024-06-01 00:00:00.000 UTC,970,222,748
25951,2024-07-01 00:00:00.000 UTC,1203,371,832
26318,2024-08-01 00:00:00.000 UTC,1218,367,851
26739,2024-09-01 00:00:00.000 UTC,1208,421,787
27324,2024-10-01 00:00:00.000 UTC,1432,585,847
