v2_trading_fees,v2_trading_fees_cumulative,v2_trading_volume,v2_trading_volume_cumulative,v2_swaps_fees,v2_swaps_fees_cumulative,v2_swaps_volume,v2_swaps_volume_cumulative
111530.8547,55612951.39,123152643.7,64991726347,3416.946518,1404.451418,6081946.481,2583369034
164149.2293,55501420.54,160929886.5,64868573703,3486.953443,1401.034471,6265378.451,2577287087
215772.2053,55337271.31,233287717.4,64707643817,5785.882822,1397.547518,9890093.996,2571021709
306289.9614,55121499.1,355555829.2,64474356100,7835.009231,1391.761635,13668603.02,2561131615
491064.5352,54815209.14,572461487.1,64118800270,9654.179787,1383.926626,16576980.1,2547463012
483915.9555,54324144.61,491669710.7,63546338783,12269.13925,1374.272446,21335859.53,2530886032
473092.6043,53840228.65,538613668.9,63054669073,9044.703722,1362.003307,15474875.14,2509550172
370109.8852,53367136.05,395353336.3,62516055404,8510.552968,1352.958603,15055670.38,2494075297
209534.5713,52997026.16,173780937,62120702067,5131.523297,1344.44805,8513100.135,2479019626
156676.9189,52787491.59,177219733.8,61946921130,3867.895943,1339.316527,6661464.881,2470506526
255935.8725,52630814.67,237048613.6,61769701397,5909.622243,1335.448631,10505585.99,2463845061
338708.8773,52374878.8,359712708.5,61532652783,9081.001876,1329.539009,15707556.02,2453339475
144257.0686,52036169.92,121304957.5,61172940075,1757.840272,1320.458007,3167221.89,2437631919
142325.3895,51891912.85,109844084,61051635117,1833.233421,1318.700166,3135483.072,2434464698
206890.3517,51749587.46,128066124.8,60941791033,2505.776533,1316.866933,3847735.923,2431329214
47543.81272,51542697.11,37336160.86,60813724908,1019.748267,1314.361157,1748006.609,2427481479
135114.9014,51495153.3,158830052.9,60776388747,2014.106022,1313.341408,3438491.726,2425733472
106623.7432,51360038.4,88002846.13,60617558694,6754.484256,1311.327302,11295022.71,2422294980
147203.9876,51253414.65,174020270.7,60529555848,3961.718317,1304.572818,6601870.012,2410999958
334599.4457,51106210.67,288961806.3,60355535578,3899.423433,1300.6111,6677558.423,2404398087
168918.9938,50771611.22,137246422,60066573771,1657.112421,1296.711676,2980630.998,2397720529
75393.9309,50602692.23,79021452.87,59929327349,3297.041809,1295.054564,5297579.99,2394739898
61037.4458,50527298.3,70608812.8,59850305896,1257.808717,1291.757522,2339491.381,2389442318
175136.0243,50466260.85,208000297.1,59779697084,2274.145071,1290.499713,4053942.22,2387102827
196869.9506,50291124.83,163783128.6,59571696787,1972.717542,1288.225568,3253051.943,2383048884
142504.975,50094254.88,162647544.7,59407913658,2374.762421,1286.252851,4171363.696,2379795833
164809.011,49951749.9,163483760.5,59245266113,2297.49383,1283.878088,3864682.521,2375624469
248027.4144,49786940.89,271691056.1,59081782353,2406.371071,1281.580594,4313697.262,2371759786
156549.9656,49538913.48,121099138.3,58810091297,1993.170086,1279.174223,3499135.721,2367446089
57432.1119,49382363.51,46467372.11,58688992158,879.2818942,1277.181053,1620965.371,2363946953
114979.5531,49324931.4,116989088.7,58642524786,1674.860143,1276.301771,3025761.357,2362325988
92319.75794,49209951.85,87809607.77,58525535698,1431.006615,1274.626911,2498259.607,2359300227
237950.1063,49117632.09,167916323,58437726090,1318.538919,1273.195905,2291703.789,2356801967
152093.3445,48879681.98,186621087.6,58269809767,2981.485405,1271.877366,5264738.944,2354510263
156585.0074,48727588.64,133819230.5,58083188679,3379.488548,1268.89588,5739176.026,2349245524
80764.99796,48571003.63,92841392.74,57949369449,992.3081388,1265.516392,1700742.533,2343506348
55149.91325,48490238.63,70720573.16,57856528056,1592.251213,1264.524084,2493388.918,2341805606
103775.9613,48435088.72,101401315.9,57785807483,1148.922198,1262.931832,1956746.103,2339312217
105013.7621,48331312.76,106780149.5,57684406167,1617.823026,1261.78291,3138248.335,2337355471
125587.3368,48226298.99,127419478.4,57577626018,1826.894264,1260.165087,3496765.447,2334217222
166684.2046,48100711.66,127783401.9,57450206539,885.9378907,1258.338193,1599241.303,2330720457
115943.3843,47934027.45,123114730.7,57322423137,1242.376353,1257.452255,2180741.826,2329121216
66821.48662,47818084.07,58835033.58,57199308406,616.6263226,1256.209879,1081728.303,2326940474
44766.97887,47751262.58,44036946.18,57140473373,300.1319085,1255.593252,549647.9291,2325858745
83277.08626,47706495.6,96912424.82,57096436427,1142.941741,1255.29312,1960096.916,2325309098
72213.10057,47623218.52,85335516.29,56999524002,1410.021236,1254.150179,2454984.225,2323349001
